analysis,tier,p_value,p_BH,p_Holm
Leg allocation group x leg,Primary,2.7007222942348187e-55,2.700722294234819e-54,2.700722294234819e-54
Leg allometry body size x group,Secondary,0.01529924887641127,0.05099749625470423,0.12239399101129016
Leg allometry body size x group x leg,Secondary,0.09588547260204872,0.235556501793592,0.671198308214341
Raw head size x group x leg,Primary,0.001732759452549069,0.008663797262745344,0.01559483507294162
Ear body-size slope x group,Secondary,0.8618292321184725,0.8618292321184725,1
Eye body-size slope x group,Secondary,0.5959623161748393,0.7449528952185491,1
Raw ear-foretibia slope x group,Secondary,0.264185597109618,0.3774079958708828,1
Raw eye-head slope x group,Secondary,0.117778250896796,0.235556501793592,0.706669505380776
Raw weapon-ear slope x group,Secondary,0.2606930388835654,0.3774079958708828,1
Five-trait correlation-matrix equality,Exploratory,0.8475,0.8618292321184725,1
